entity_id,name,hq,n_assets,lei,cik
E100000000770,Norske Skog ASA,Norway,4,529900MYY60WXHHY3039,
E100000001119,Rio Tinto PLC,United Kingdom,4,213800YOEO5OQ72G2R82,
E100000188948,AXA SA,France,4,F5WCUMTUM4RKZ1MAIE39,
E100001014645,National Fuel Gas Co,United States,4,8JB38FFW1Y3C1HM8E841,70145
E100000000836,Galp Energia SGPS SA,Portugal,4,2138003319Y7NM75FG53,
E100001014626,Kinetik Holdings Inc,United States,4,,1692787
E100000001885,K+S AG,Germany,4,529900YURAYD4IJX2J91,
E100000003769,Pacific Gas and Electric Co,United States,4,1HNPXZSMMB7HMBMVBS46,
E100001015015,HF Sinclair Corp,United States,4,2549009G116AM01XHN24,1915657
E100000152286,Norsk Hydro ASA,Norway,4,549300N1SDN71ZZ8BO45,
E100002003582,Intesa Sanpaolo SpA,Italy,4,2W8N8UU78PMDQKZENC08,
E100002007932,Otter Tail Corp,United States,4,,1466593
E100000001315,UGI Corp,United States,4,DX6GCWD4Q1JO9CRE5I40,884614
E100001011055,Crédit Agricole SA,France,3,969500TJ5KRTCJQWXH05,
E100001014758,Fluxys Belgium NV/SA,Belgium,3,52990071WX2UW1WNHC16,
E100000001275,PBF Energy Inc,United States,3,2549003PBEDCSZMZIY02,1534504
E100002011849,Gascogne SA,France,3,969500DQD951FFTQHE77,
E100000150598,Acciona SA,Spain,3,54930002KP75TLLLNO21,
E100000130743,Acerinox SA,Spain,3,95980020140005582721,
E100000000031,Voestalpine AG,Austria,3,529900ZAXBMQDIWPNB72,
E100000000774,Yara International ASA,Norway,3,213800WKOUWXWFJ5Z514,
E100001012563,Vår Energi AS,Norway,3,549300LIVN3FFOJN2K47,
E100001011522,Oberbank AG,Austria,3,RRUN0TCQ1K2JDV7MXO75,
E100000131005,Viohalco SA,Belgium,3,549300U0BOLVY36TGJ31,
E100000130696,Outokumpu Oyj,Finland,3,5493009YRUJJDCFF0R80,
E100001016035,Western Midstream Partners LP,United States,3,,1423902
E100001000407,Anglo American PLC,United Kingdom,3,549300S9XF92D1X8ME43,
E100001000663,EVRAZ PLC,United Kingdom,3,5493005B7DAN39RXLK23,
E100002004041,Ferrexpo PLC,United Kingdom,3,213800CEDKSNUTPAQZ41,
E100001011243,Essity AB,Sweden,3,549300G8E6YUVJ1DA153,
E100000132348,Warrior Met Coal Inc,United States,3,549300152B1S9YKBYV79,1691303
E100000000735,Akzo Nobel NV,Netherlands,3,724500XYIJUGXAA5QD70,
E100000001586,Motor Oil Hellas SA,Greece,3,213800U3Y9UL7Y4QVM11,
E100000001597,Newmont Corp,United States,3,549300VSP3RIX7FGDZ51,1164727
E100001014433,Chesapeake Utilities Corp,United States,3,254900WW0FDCKAOCKE74,19745
E100000000025,Lenzing AG,Austria,3,529900BKFJBI0QRDJH63,
E100001000174,Schroders PLC,United Kingdom,3,2138001YYBULX5SZ2H24,
