sector,asset_id,old_top_parent,new_top_parent,immediate_owner_also_changed
Bioenergy Power,G100000200038,E100000000654|E100000001237|E100000123261|E100000133542|E100000134222|E100001000131|E100001000178|E100001000179|E100001000382|E100001010969|E100001011617|E100001015587|E100001016125|E100001016126|E100001016127|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498,E100000000654|E100000001237|E100000123261|E100000133542|E100000134222|E100000136108|E100001000131|E100001000178|E100001000179|E100001000348|E100001000382|E100001010595|E100001010596|E100001010969|E100001011617|E100001015587|E100001015833|E100001016125|E100001016126|E100001016127|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100002001974|E100002011285|E100002022203,False
Bioenergy Power,G100000201864,E100000000185|E100001000328|E100001000475|E100001010848,E100000000185|E100000125903|E100001000328|E100001000475|E100001010848|E100002022845,False
Bioenergy Power,G100000201382,E100000000369|E100000151577|E100001011534|E100001015587|E100001017611|E100002000150|E100002000151|E100002000870,E100000000361|E100000000364|E100000000369|E100000000372|E100000000373|E100000001640|E100000123261|E100000135826|E100000152662|E100001000348|E100001000914|E100001000935|E100001010595|E100001011476|E100001011534|E100001011545|E100001015587|E100001015833|E100001016088|E100001016231|E100001017611|E100002000151|E100002000870|E100002001974|E100002003008|E100002016388|E100002016389|E100002016530|E100002016833|E100002017130|E100002017132|E100002017133|E100002017134|E100002022273|E100002022475|E100002022476|E100002022987|E100002022988,False
Bioenergy Power,G100000200724,E100000000904,E100000129050|E100000133214|E100000135826|E100000181249|E100000188387|E100001000348|E100001010595|E100001015587|E100001015833|E100002000443|E100002000444|E100002000445|E100002000446|E100002000447|E100002000448|E100002000449|E100002000450|E100002001203|E100002005438|E100002015174|E100002021813|E100002022843|E100002025348|E100002025349,False
Bioenergy Power,G100000202149,E100000000273|E100000132388|E100001000086|E100001000514,E100000000273|E100000132388|E100001000086|E100001000514|E100001014866,False
Bioenergy Power,G100000201889,E100001011027,E100000132388|E100001011027,True
Bioenergy Power,G100000200047,E100000000947|E100000000962|E100000132388|E100002004569,E100000000947|E100000000962|E100000132388|E100001015587|E100002004569,False
Bioenergy Power,G100000200312,E100002002717,E100000000608|E100001000348|E100001001025|E100001010595|E100001015587|E100001015833|E100002016504,False
Bioenergy Power,G100000200431,E100002000601,E100000123261|E100002000600,True
Bioenergy Power,G100000201437,E100000000978|E100001014317|E100002002992|E100002002996|E100002002997|E100002002998,E100000000978|E100000001226|E100001000348|E100001010595|E100001014317|E100001015587|E100001015833|E100001016252|E100002002992|E100002002996|E100002015950|E100002021876|E100002021948|E100002021949|E100002022963|E100002022964,False
Bioenergy Power,G100000200758,E100000000648|E100000123261|E100000133542|E100000134222|E100000134350|E100001000178|E100001000179|E100001000382|E100001011617|E100001015587|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100002002984,E100000000648|E100000123261|E100000133542|E100000134222|E100000134350|E100000136108|E100001000178|E100001000179|E100001000348|E100001000382|E100001010595|E100001010596|E100001011617|E100001015587|E100001015833|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100002001974|E100002002984|E100002011285|E100002022203,False
Bioenergy Power,G100000200440,E100000001193|E100001000348|E100001010595|E100001010596|E100001015587|E100001015644|E100001015833,E100000001193|E100001000348|E100001010595|E100001010596|E100001015587|E100001015833,False
Bioenergy Power,G100000201678,E100000001241|E100001000348|E100001010595|E100001010596|E100001015587|E100001015644|E100001015833|E100002000188,E100000001241|E100001000348|E100001000901|E100001010595|E100001010596|E100001010706|E100001010707|E100001014543|E100001015587|E100001015833|E100001016645|E100002000188|E100002001974,False
Bioenergy Power,G100000201906,E100000000174|E100000000310|E100000125135|E100000125325|E100000125376|E100000125547|E100000129159|E100000129160|E100000129161|E100000129165|E100000129180|E100000130086|E100000130497|E100000130589|E100000132388|E100001000030|E100001000031|E100001000032|E100001000033|E100001000086,E100000000174|E100000000310|E100000125135|E100000125325|E100000125376|E100000125547|E100000125903|E100000129137|E100000129159|E100000129160|E100000129161|E100000129165|E100000129172|E100000129180|E100000130086|E100000130423|E100000130497|E100000130589|E100000132388|E100001000030|E100001000031|E100001000032|E100001000033|E100001000086|E100001000328|E100001000829|E100001014866|E100001015587|E100002022845,False
Bioenergy Power,G100000201542,E100001010923,E100000000145|E100001010923,False
Bioenergy Power,G100000201393,E100001010912,E100000130489,False
Bioenergy Power,G100000201636,E100000001241|E100001000348|E100001010595|E100001010596|E100001015587|E100001015644|E100001015833|E100002000188,E100000001241|E100001000348|E100001000901|E100001010595|E100001010596|E100001010706|E100001010707|E100001014543|E100001015587|E100001015833|E100001016645|E100002000188|E100002001974,True
Bioenergy Power,G100000200600,E100002001393,E100000000746|E100000123261|E100000188761|E100001000348|E100001010595|E100001015587|E100001015833|E100002001393|E100002021795|E100002022373,False
Bioenergy Power,G100001020050,E100002003380,E100000000875|E100000001492|E100000121185|E100000123261|E100000152466|E100001000094|E100001000270|E100001015587|E100002003380|E100002016399|E100002016408|E100002016409,False
Bioenergy Power,G100000400078,E100000001654|E100001000088|E100001010403|E100001015587|E100002000200,E100000001654|E100000123261|E100001000088|E100001010403|E100001015587|E100002000200|E100002021981,False
Bioenergy Power,G100000200140,E100000000273|E100000132388|E100001000086|E100001000514,E100000000273|E100000132388|E100001000086|E100001000514|E100001014866,False
Bioenergy Power,G100000200623,E100000000369|E100001010923,E100000000145|E100000000369|E100000001640|E100000123261|E100001010923|E100001015587|E100001016231|E100002016389|E100002016530|E100002022273|E100002022987|E100002022988,False
Bioenergy Power,G100000200029,E100001000105,E100000000651|E100000123261|E100000133542|E100000134222|E100000136108|E100001000105|E100001000178|E100001000179|E100001000348|E100001000382|E100001010595|E100001010596|E100001011617|E100001015587|E100001015833|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100002001974|E100002011285|E100002022069|E100002022070|E100002022203,False
Bioenergy Power,G100001000112,E100000000360|E100000001640,E100001000047|E100001000048,True
Bioenergy Power,G100000200098,E100000120639|E100001011023|E100001015587,E100000120639|E100000123261|E100000133542|E100000134222|E100000136108|E100001000178|E100001000179|E100001000348|E100001000382|E100001010595|E100001010596|E100001011023|E100001011617|E100001015587|E100001015833|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100002001974|E100002011285|E100002016862|E100002022203,False
Bioenergy Power,G100000200344,E100000001247|E100000123261|E100000132632|E100001015587|E100002002943,E100000001247|E100000123261|E100001000348|E100001010595|E100001015587|E100001015833|E100002002943,False
Bioenergy Power,G100000201654,E100000001241|E100001000348|E100001010595|E100001010596|E100001015587|E100001015644|E100001015833|E100002000188,E100000001241|E100001000348|E100001000901|E100001010595|E100001010596|E100001010706|E100001010707|E100001014543|E100001015587|E100001015833|E100001016645|E100002000188|E100002001974,False
Bioenergy Power,G100000201611,E100001001070,E100000123261|E100001000082|E100001001070|E100001015587|E100002001974|E100002003008|E100002016831|E100002016832|E100002016833|E100002016834|E100002022475|E100002022476,False
Bioenergy Power,G100000202198,E100000000491,E100000000491|E100000124156,False
Bioenergy Power,G100000200622,E100000000369|E100001010923,E100000000145|E100000000369|E100000001640|E100000123261|E100001010923|E100001015587|E100001016231|E100002016389|E100002016530|E100002022273|E100002022987|E100002022988,False
Bioenergy Power,G100000200783,E100000000655|E100000000660|E100000000663|E100000121583|E100000123261|E100000133542|E100000134222|E100000150698|E100001000178|E100001000179|E100001000382|E100001011617|E100001015587|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100002002949|E100002002950,E100000000655|E100000000660|E100000121583|E100000123261|E100000133542|E100000134222|E100000136108|E100000150698|E100001000178|E100001000179|E100001000348|E100001000382|E100001010595|E100001010596|E100001011617|E100001015587|E100001015833|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100002001974|E100002002949|E100002002950|E100002011285|E100002017201|E100002017203|E100002017204|E100002022203,False
Bioenergy Power,G100000202233,E100000123243|E100000123261|E100000123957|E100000124421|E100000124553|E100000125666|E100000129114|E100000129663|E100000129910|E100000129920|E100000130075|E100000130077|E100000130135|E100000130171|E100000130175|E100000130396|E100000130405|E100000130429|E100000132388|E100001000086|E100001000475|E100001000514,E100000123243|E100000123261|E100000123957|E100000124421|E100000124553|E100000125666|E100000129114|E100000129663|E100000129910|E100000129920|E100000130075|E100000130077|E100000130135|E100000130171|E100000130175|E100000130396|E100000130405|E100000130429|E100000132388|E100001000086|E100001000475|E100001000514|E100001014866,True
Bioenergy Power,G100000200062,E100000000654|E100000001237|E100000123261|E100000133542|E100000134222|E100001000178|E100001000179|E100001000382|E100001011617|E100001015587|E100001016125|E100001016126|E100001016127|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100001016899,E100000000654|E100000001237|E100000123261|E100000133542|E100000134222|E100000136108|E100001000178|E100001000179|E100001000348|E100001000382|E100001010595|E100001010596|E100001011617|E100001015587|E100001015833|E100001016125|E100001016126|E100001016127|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100001016899|E100002001974|E100002011285|E100002022203,False
Bioenergy Power,G100000201592,E100000000985,E100001010928|E100001011072|E100002001203,False
Bioenergy Power,G100000200642,E100001010923,E100000000145|E100001010923|E100001015587,False
Bioenergy Power,G100000200654,E100001000044|E100001000045,E100000123261|E100001000044|E100001000045|E100001015587,False
Bioenergy Power,G100000200500,E100001000086|E100001000514|E100002003001,E100001000086|E100001000514|E100001014866|E100001015587|E100002003001,False
Bioenergy Power,G100000201632,E100002000601,E100000123261|E100002000600,False
Bioenergy Power,G100000200067,E100000000630|E100000000649|E100000000662|E100000123261|E100000133542|E100000134222|E100001000178|E100001000179|E100001000382|E100001011617|E100001015587|E100001016125|E100001016126|E100001016127|E100001016208|E100001016209|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498,E100000000630|E100000000649|E100000000662|E100000123261|E100000133542|E100000134222|E100000136108|E100001000178|E100001000179|E100001000348|E100001000382|E100001010595|E100001010596|E100001011617|E100001015587|E100001015833|E100001016125|E100001016126|E100001016127|E100001016208|E100001016209|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100002001974|E100002011285|E100002022203,False
Bioenergy Power,G100000200095,E100000123261|E100000132887|E100001015587|E100002002958,E100000123261|E100000132887|E100001000370|E100001015587|E100001015702|E100002002958|E100002018953,False
Bioenergy Power,G100000201622,E100000001164|E100000001234|E100000001534|E100001000348|E100001010595|E100001010596|E100001015587|E100001015644|E100001015833,E100000001164|E100000001234|E100000001534|E100000123261|E100001000348|E100001010595|E100001010596|E100001015587|E100001015833,False
Bioenergy Power,G100000201378,E100000001237|E100000123261|E100000133542|E100000134222|E100001000053|E100001000054|E100001000178|E100001000179|E100001000382|E100001011617|E100001015587|E100001016125|E100001016126|E100001016127|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498,E100000001237|E100000123261|E100000133542|E100000134222|E100000136108|E100001000053|E100001000054|E100001000178|E100001000179|E100001000348|E100001000382|E100001010595|E100001010596|E100001011617|E100001015587|E100001015833|E100001016125|E100001016126|E100001016127|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100002001974|E100002011285|E100002022203,False
Bioenergy Power,G100000200577,E100002001393,E100000000746|E100000123261|E100000188761|E100001000348|E100001010595|E100001015587|E100001015833|E100002001393|E100002021795|E100002022373,False
Bioenergy Power,G100000200492,E100002001393,E100000000746|E100000123261|E100000188761|E100001000348|E100001010595|E100001015587|E100001015833|E100002001393|E100002021795|E100002022373,False
Bioenergy Power,G100000202139,E100000000273|E100000132388|E100001000086|E100001000514,E100000000273|E100000132388|E100001000086|E100001000514|E100001014866,False
Bioenergy Power,G100000200711,E100002002694,E100000123261|E100002025075|E100002025076|E100002025077|E100002025079|E100002025081,False
Bioenergy Power,G100000200486,E100001000152,E100001000152|E100001015587|E100002025056,False
