entity_id,name,hq,n_assets,lookthrough_assets,lei,permid,cik,has_lei,has_cik,has_permid,gleif_status,gleif_category
E100000152934,Genesis Energy LP,United States,8,5.05,549300VJ5D6MDK138782,4295904063,1022321.0,True,True,True,ACTIVE,GENERAL
E100000001101,Centrica PLC,United Kingdom,8,5.70874,E26EDV109X6EEPBKVH76,4295894725,,True,False,True,ACTIVE,GENERAL
E100001011575,Celanese Corp,United States,8,2.8600000000000003,549300FHJQTDPPN41627,4295899696,1306830.0,True,True,True,ACTIVE,GENERAL
E100001014386,Targa Resources Corp,United States,8,8.0,5493003QENHHS261UR94,5001158057,1389170.0,True,True,True,ACTIVE,GENERAL
E100000130754,Commercial Metals Co,United States,8,8.0,549300OQS2LO07ZJ7N73,4295903763,22444.0,True,True,True,ACTIVE,GENERAL
E100001000488,Coronado Global Resources Inc,United States,8,8.0,549300IGUM6F25CYHK79,5065977556,1770561.0,True,True,True,ACTIVE,GENERAL
E100001012815,Harbour Energy PLC,United Kingdom,7,1.134125,213800YPC42DYBKVPF97,4295895187,,True,False,True,ACTIVE,GENERAL
E100000001198,Edison International Corp,United States,7,7.0,549300I7ROF15MAEVP56,4295903910,827052.0,True,True,True,ACTIVE,GENERAL
E100000000360,Fortum Oyj,Finland,7,5.92,635400IUIZZIUJSAMF76,4295866494,,True,False,True,ACTIVE,GENERAL
E100000132450,Packaging Corporation of America ,United States,7,7.0,549300XZP8MFZFY8TJ84,4295912229,75677.0,True,True,True,ACTIVE,GENERAL
E100001000232,Mercer International Inc,United States,7,6.5,549300Z5IAG39VRTY874,4295908631,1333274.0,True,True,True,ACTIVE,GENERAL
E100000000459,Volkswagen AG,Germany,7,7.0,529900NNUPAGGOMPXZ31,4295869244,,True,False,True,ACTIVE,GENERAL
E100000001177,CenterPoint Energy Inc,United States,7,6.5,21TPXMRRHFKOBHDC8J74,4295912256,1130310.0,True,True,True,ACTIVE,GENERAL
E100000001651,SSAB AB,Sweden,7,6.25,529900329VS14ZIML164,4295889873,,True,False,True,ACTIVE,GENERAL
E100000001713,The Navigator Co,Portugal,7,7.0,549300UNIB7M2AXUXS35,4295886733,,True,False,True,ACTIVE,GENERAL
E100000000436,Siemens AG,Germany,7,2.578,W38RGI023J3WT1HWRP32,4295869238,,True,False,True,ACTIVE,GENERAL
E100000000473,HELLENiQ ENERGY Holdings SA,Greece,7,3.5074999999999994,213800YUBJMZYR1SNG35,4295870610,,True,False,True,ACTIVE,GENERAL
E100000001132,Air Products and Chemicals Inc,United States,7,3.725,7QEON6Y1RL5XR3R1W237,4295903294,2969.0,True,True,True,ACTIVE,GENERAL
E100002005093,Cementir Holding NV,Netherlands,7,5.384,8156008B101B97A43B02,5071500150,,True,False,True,ACTIVE,GENERAL
E100002006131,Eagle Materials Inc,United States,7,6.5,529900KRXRGXL61SG039,4295903695,918646.0,True,True,True,ACTIVE,GENERAL
E100000002169,ALLETE Inc,United States,7,6.8,549300NNLSIMY6Z8OT86,4295904549,66756.0,True,True,True,ACTIVE,GENERAL
E100000001104,Drax Group PLC,United Kingdom,7,7.0,549300YPSNTXR4ZHSR98,4295893846,,True,False,True,ACTIVE,GENERAL
E100000002305,Portland General Electric Co,United States,7,5.4,GJOUP9M7C39GLSK9R870,4295899827,784977.0,True,True,True,ACTIVE,GENERAL
E100000000838,Semapa - Sociedade de Investimento e Gestão SGPS SA,Portugal,7,6.498,549300HNGOW85KIOH584,4295886812,,True,False,True,ACTIVE,GENERAL
E100001016064,Cheniere Energy Partners LP,United States,6,6.0,5493005UEC8AZ34LDV29,4295899625,1383650.0,True,True,True,ACTIVE,GENERAL
E100001000155,Evonik Industries AG,Germany,6,6.0,41GUOJQTALQHLF39XJ34,5000074393,,True,False,True,ACTIVE,GENERAL
E100002021926,City of Vienna ,Austria,6,6.0,529900LTE68PDZBBU805,5000003199,,True,False,True,ACTIVE,RESIDENT_GOVERNMENT_ENTITY
E100001015934,Redes Energéticas Nacionais SGPS SA,Portugal,6,6.0,549300FR1FN48IGHR915,4295886913,,True,False,True,ACTIVE,GENERAL
E100002002718,Vontobel Holding AG,Switzerland,6,1.4700000000000002,529900G69W5VR3DDPW23,8589934180,,True,False,True,ACTIVE,GENERAL
E100000001186,Consolidated Edison Inc,United States,6,4.16,54930033SBW53OO8T749,4295903098,1047862.0,True,True,True,ACTIVE,GENERAL
E100000001268,NiSource Inc,United States,6,6.0,549300D8GOWWH0SJB189,4295911971,1111711.0,True,True,True,ACTIVE,GENERAL
E100001011576,Clariant AG,Switzerland,6,1.98,529900VSEKBY7TMPP349,4295890576,,True,False,True,ACTIVE,GENERAL
E100000000620,Iren SpA,Italy,6,6.0,8156001EBD33FD474E60,4295875719,,True,False,True,ACTIVE,GENERAL
E100000000021,EVN AG,Austria,6,5.49,529900P4JZBFEVNEAE60,4295859045,,True,False,True,ACTIVE,GENERAL
E100000001277,PNM Resources Inc,United States,6,3.59,5493003JOBJGLZSDDQ28,4295904778,735250.0,True,True,True,ACTIVE,GENERAL
E100002000151,Kemira Oyj,Finland,6,0.207124,74370031Y7RK5H88CQ48,4295866550,,True,False,True,ACTIVE,GENERAL
E100001010336,Steel Dynamics Inc,United States,6,6.0,549300HGGKEL4FYTTQ83,4295908010,1022671.0,True,True,True,ACTIVE,GENERAL
E100001000054,Metsä Board Oyj,Finland,6,2.245,743700KKB8Q035K38488,4295866436,,True,False,True,ACTIVE,GENERAL
E100000000619,Hera SpA,Italy,6,3.2,8156009414FD99443B48,4295875817,,True,False,True,ACTIVE,GENERAL
E100001000636,Alcoa Corp,United States,5,3.7,549300T12EZ1F6PWWU29,5051045063,1675149.0,True,True,True,ACTIVE,GENERAL
E100000132404,Clearwater Paper Corp,United States,5,5.0,549300HCVV19GXN4P292,4298114151,1441236.0,True,True,True,ACTIVE,GENERAL
E100000000475,Metlen Energy & Metals SA,Greece,5,4.65,213800KT8MEUJEJ2KW41,4295870463,,True,False,True,ACTIVE,GENERAL
E100002024593,Braunschweig Beteiligungen GmbH,Germany,5,1.255,529900LBFWIZP20KCC34,not found,,True,False,False,ACTIVE,GENERAL
E100001014430,Cheniere Energy Inc,United States,5,4.5,MIHC87W9WTYSYZWV1J40,4295912846,3570.0,True,True,True,ACTIVE,GENERAL
E100000001321,Valero Energy Corp,United States,5,4.0,549300XTO5VR8SKV1V74,4295905198,,True,False,True,ACTIVE,GENERAL
E100000001169,California Resources Corp,United States,5,3.5,5493003Q8F0T4F4YMR48,5043315813,1609253.0,True,True,True,ACTIVE,GENERAL
E100000136992,Deutsche Bank AG,Germany,5,1.0,7LTWFZYICNSX8D621K86,4295869482,,True,False,True,ACTIVE,GENERAL
E100000001220,FreePort-McMoran Inc,United States,5,2.952,549300IRDTHJQ1PVET45,4295908588,831259.0,True,True,True,ACTIVE,GENERAL
E100001014129,APA Corp,United States,5,3.217,549300VCIWLRHYVSHC79,5080022433,1841666.0,True,True,True,ACTIVE,GENERAL
E100000002180,Avista Corp,United States,5,5.0,Q0IK63NITJD6RJ47SW96,4295912017,104918.0,True,True,True,ACTIVE,GENERAL
E100002000031,Dow Inc,United States,5,4.28,5493003S21INSLK2IP73,5000296881,1751788.0,True,True,True,ACTIVE,GENERAL
E100000000472,"GEK TERNA Holdings, Real Estate, Construction SA",Greece,5,4.5,2138003TO2MTRHWVP686,4295870455,,True,False,True,ACTIVE,GENERAL
E100001010324,Vallourec SA,France,5,2.6,969500P2Q1B47H4MCJ34,4295867374,,True,False,True,ACTIVE,GENERAL
E100001001053,FirstEnergy Corp,United States,5,5.0,549300SVYJS666PQJH88,4295903132,1031296.0,True,True,True,ACTIVE,GENERAL
E100000132862,Rayonier Advanced Materials Inc,United States,4,4.0,54930053QJ7OUGZG4F72,5041065688,1597672.0,True,True,True,ACTIVE,GENERAL
E100001014437,Ithaca Energy PLC,United Kingdom,4,0.628,21380057TNFLXPXBIP34,5071532126,,True,False,True,ACTIVE,GENERAL
E100001014651,Enquest PLC,United Kingdom,4,2.119,2138008LJU6WFQWOXJ73,5000669507,,True,False,True,ACTIVE,GENERAL
E100000000770,Norske Skog ASA,Norway,4,2.2,529900MYY60WXHHY3039,5044365637,,True,False,True,ACTIVE,GENERAL
E100000001119,Rio Tinto PLC,United Kingdom,4,2.4,213800YOEO5OQ72G2R82,4295894786,,True,False,True,ACTIVE,GENERAL
E100000188948,AXA SA,France,4,0.6232200000000001,F5WCUMTUM4RKZ1MAIE39,4295867483,,True,False,True,ACTIVE,GENERAL
E100001014645,National Fuel Gas Co,United States,4,4.0,8JB38FFW1Y3C1HM8E841,4295904586,70145.0,True,True,True,ACTIVE,GENERAL
E100000000836,Galp Energia SGPS SA,Portugal,4,1.85,2138003319Y7NM75FG53,4295886908,,True,False,True,ACTIVE,GENERAL
E100000001885,K+S AG,Germany,4,4.0,529900YURAYD4IJX2J91,4295869106,,True,False,True,ACTIVE,GENERAL
E100000003769,Pacific Gas and Electric Co,United States,4,4.0,1HNPXZSMMB7HMBMVBS46,4296491144,,True,False,True,ACTIVE,GENERAL
E100001015015,HF Sinclair Corp,United States,4,3.5,2549009G116AM01XHN24,5082447835,1915657.0,True,True,True,ACTIVE,GENERAL
E100000152286,Norsk Hydro ASA,Norway,4,0.5770000000000001,549300N1SDN71ZZ8BO45,4295885456,,True,False,True,ACTIVE,GENERAL
E100002003582,Intesa Sanpaolo SpA,Italy,4,0.5233800000000001,2W8N8UU78PMDQKZENC08,4295875735,,True,False,True,ACTIVE,GENERAL
E100000001315,UGI Corp,United States,4,4.0,DX6GCWD4Q1JO9CRE5I40,5000054762,884614.0,True,True,True,ACTIVE,GENERAL
E100001011055,Crédit Agricole SA,France,3,0.2,969500TJ5KRTCJQWXH05,8589934312,,True,False,True,ACTIVE,GENERAL
E100001014758,Fluxys Belgium NV/SA,Belgium,3,2.225,52990071WX2UW1WNHC16,4295859619,,True,False,True,ACTIVE,GENERAL
