subject,party,party_name,bucket,residual
E100002024417,E100000001158,Blackstone,build-out,False
E100001016858,E100001001266,DTE Energy Services,build-out,False
E100001013027,E100001015587,small shareholder(s),build-out,True
E100002017317,E100000123261,natural person(s),build-out,True
E100002007202,E100002007204,Märker Beteiligungs,build-out,False
E100001014630,E100001014635,Saudi Arabian Amiantit,build-out,False
E100002007167,E100002007170,Bloomingdale Investment & Finance,build-out,False
E100002009540,E100000132087,QCoal,build-out,False
E100000000875,E100001000094,Government of Russia,build-out,False
E100002023930,E100000123261,natural person(s),build-out,True
E100001010234,E100001010596,State Street,build-out,False
E100002010758,E100001013285,PT Tuah Turangga Agung,build-out,False
E100002016541,E100002016925,Havajeh Energy Holdings,build-out,False
E100001000771,E100001000781,Anglo American Steelmaking Coal Holdings,build-out,False
E100000000707,E100001015587,small shareholder(s),build-out,True
E100002015984,E100000123261,natural person(s),build-out,True
E100002007215,E100002007216,Vision Holdings Middle East,build-out,False
E100002002905,E100002018537,Angang Group Investment (Australia),build-out,False
E100001000937,E100001015587,small shareholder(s),build-out,True
E100000001157,E100001000348,BlackRock,build-out,False
E100002012039,E100002016712,Empresa Preparadora de Terrenos Empreterra,build-out,False
E100000131028,E100002016172,Assets-M,build-out,False
E100000004067,E100001012015,Government of Equatorial Guinea,build-out,False
E100000003911,E100002000048,Siemens Project Ventures,build-out,False
E100002004828,E100000123261,natural person(s),build-out,True
E100000132266,E100000132377,Yukas Holding Investment Company,build-out,False
E100002016530,E100002022273,Wallenberg Investments,build-out,False
E100002016951,E100000132807,Mizuho Leasing,build-out,False
E100002007286,E100002007287,Mir Group of Companies,build-out,False
E100000000106,E100000000053,CK Infrastructure Holdings,build-out,False
E100000190330,E100000123261,natural person(s),build-out,True
E100001015273,E100000000651,Mitsui &,build-out,False
E100001015912,E100001015288,Mardi Gras Transportation System,build-out,False
E100002009642,E100002009643,Boich Investment Group,build-out,False
E100001010855,E100002022048,Yayasan Pelaburan Bumiputra,build-out,False
E100002017317,E100002017319,Lucara Diamond,build-out,False
E100002016697,E100002008598,Hartree Partners,build-out,False
E100001000580,E100002007167,Prism Johnson,build-out,False
E100002015845,E100001000161,Shree Renuka Sugars,build-out,False
E100001010783,E100001000520,Life Insurance Corporation of India,build-out,False
E100000121041,E100000000170,China Huadian,build-out,False
E100002016197,E100000133660,International Finance,build-out,False
E100002016642,E100000123261,natural person(s),build-out,True
E100002006432,E100002006433,China Building Material Industrial Corporatation for Foreign Econo-Technical,build-out,False
E100000131279,E100002002924,Mineral Resources,build-out,False
E100000128138,E100000128620,Bijie Anfang Construction Investment (Group),build-out,False
E100002006390,E100002005941,Western Diamond Cement,build-out,False
E100002005544,E100000123261,natural person(s),build-out,True
E100000190234,E100002025122,Valorgas Participacoes Societarias,build-out,False
E100002025175,E100000123261,natural person(s),build-out,True
E100000120012,E100002021131,Stable Investment,build-out,False
E100002002429,E100002002182,J K Cement,build-out,False
E100001013161,E100000001270,Occidental Petroleum,build-out,False
E100000003112,E100001001434,Vicinity Energy,build-out,False
E100000000106,E100001000165,Power Assets Holdings,build-out,False
E100000132061,E100002010531,BNP Paribas Nominees Pty Ltd Acf Clearstream,build-out,False
