entity_id,coal_mw,gas_mw,bio_mw,vintage,blank_rule,name,fossil_mw,thermal_mw,fossil_share,coal_share
E100000000832,4423.5,79.0,40.0,March 2025,zero,TAURON Polska Energia,4502.5,4542.5,0.9911942762795817,0.9824541921154913
E100000000834,1708.54,2891.88,0.0,March 2025,zero,EDP,4600.42,4600.42,1.0,0.3713878298068437
E100000000836,0.0,28.3,0.0,March 2025,zero,Galp Energia,28.3,28.3,1.0,0.0
E100000000837,0.0,0.0,0.0,March 2025,zero,Mota-Engil,0.0,0.0,,
E100000000838,0.0,147.0,95.0,March 2025,zero,Semapa - Sociedade de Investimento e Gestão,147.0,242.0,0.6074380165289256,0.0
E100000000840,0.0,200.0,0.0,March 2025,zero,Industries Qatar,200.0,200.0,1.0,0.0
E100000000860,0.0,110.0,0.0,March 2025,zero,Mechel,110.0,110.0,1.0,0.0
E100000000864,3002.0,1254.0,0.0,March 2025,zero,RusHydro,4256.0,4256.0,1.0,0.7053571428571429
E100000000869,0.0,4033.1,0.0,March 2025,zero,LUKOIL,4033.1,4033.1,1.0,0.0
E100000000870,0.0,1212.0,0.0,March 2025,zero,Norilsk Nickel Mining and Metallurgical Company,1212.0,1212.0,1.0,0.0
E100000000874,0.0,1368.09,0.0,March 2025,zero,Rosneft,1368.09,1368.09,1.0,0.0
E100000000881,0.0,684.0,0.0,March 2025,zero,Tatneft,684.0,684.0,1.0,0.0
E100000000882,0.0,10002.09,0.0,March 2025,zero,ACWA Power,10002.09,10002.09,1.0,0.0
E100000000888,0.0,6098.0,0.0,March 2025,zero,Saudi Arabian Oil,6098.0,6098.0,1.0,0.0
E100000000889,0.0,280.0,0.0,March 2025,zero,Saudi Basic Industries,280.0,280.0,1.0,0.0
E100000000890,0.0,61867.05,0.0,March 2025,zero,Saudi Electricity,61867.05,61867.05,1.0,0.0
E100000000904,0.0,1300.0,0.0,March 2025,zero,Keppel,1300.0,1300.0,1.0,0.0
E100000000909,600.0,2427.5,0.0,March 2025,zero,Sembcorp Industries,3027.5,3027.5,1.0,0.1981833195706028
E100000000927,0.0,324.0,0.0,March 2025,zero,Sasol,324.0,324.0,1.0,0.0
E100000000935,0.0,3231.79,147.0,March 2025,zero,GS Holdings,3231.79,3378.79,0.9564933008562236,0.0
E100000000938,0.0,827.0,0.0,March 2025,zero,Hanjin Heavy Industries & Construction Holdings,827.0,827.0,1.0,0.0
E100000000947,36438.99,23186.79,416.31,March 2025,zero,Korea Electric Power,59625.78,60042.09,0.9930663639456921,0.6111281059971039
E100000000950,0.0,270.0,0.0,March 2025,zero,Korea Zinc,270.0,270.0,1.0,0.0
E100000000953,357.0,4122.3,0.0,March 2025,zero,POSCO Holdings,4479.3,4479.3,1.0,0.07969995311767464
E100000000955,395.2,1122.0,0.0,March 2025,zero,SK Gas,1517.2,1517.2,1.0,0.26047983126812546
E100000000960,603.2,1293.5,0.0,March 2025,zero,Samsung C&T,1896.7,1896.7,1.0,0.31802604523646333
E100000000968,0.0,7912.6,0.0,March 2025,zero,Endesa,7912.6,7912.6,1.0,0.0
E100000000975,0.0,7280.3,0.0,March 2025,zero,Iberdrola,7280.3,7280.3,1.0,0.0
E100000000978,0.0,8664.13,24.5,March 2025,zero,Naturgy Energy Group,8664.13,8688.63,0.997180222888994,0.0
E100000000980,0.0,2216.0,0.0,March 2025,zero,Repsol,2216.0,2216.0,1.0,0.0
E100000001009,0.0,96.0,0.0,March 2025,zero,CTCI,96.0,96.0,1.0,0.0
E100000001012,1730.8,0.0,0.0,March 2025,zero,Formosa Chemicals & Fibre,1730.8,1730.8,1.0,1.0
E100000001013,1666.8,0.0,0.0,March 2025,zero,Formosa Petrochemical,1666.8,1666.8,1.0,1.0
