entity_id,status
E100000132733,in old vintage only
E100000132734,in old vintage only
E100000132741,in old vintage only
E100000132892,in old vintage only
E100000132946,in old vintage only
E100000132949,in old vintage only
E100000132995,in old vintage only
E100000133759,in old vintage only
E100000135689,in old vintage only
E100000136874,in old vintage only
E100000137052,in old vintage only
E100000137128,in old vintage only
E100000149058,in old vintage only
E100000150377,in old vintage only
E100000150455,in old vintage only
E100000150492,in old vintage only
E100000150543,in old vintage only
E100000151297,in old vintage only
E100000151510,in old vintage only
E100000152745,in old vintage only
E100000153018,in old vintage only
E100000153083,in old vintage only
E100000153223,in old vintage only
E100000154539,in old vintage only
E100000155654,in old vintage only
E100000155907,in old vintage only
E100000156024,in old vintage only
E100000156101,in old vintage only
E100000156145,in old vintage only
E100000156157,in old vintage only
E100000156214,in old vintage only
E100000156785,in old vintage only
E100000156806,in old vintage only
E100000156921,in old vintage only
E100000157304,in old vintage only
E100000157768,in old vintage only
E100000158582,in old vintage only
E100000160354,in old vintage only
E100000179362,in old vintage only
E100000179600,in old vintage only
E100000179620,in old vintage only
E100000179984,in old vintage only
E100000180099,in old vintage only
E100000180163,in old vintage only
E100000180417,in old vintage only
E100000180686,in old vintage only
E100000180844,in old vintage only
E100000180904,in old vintage only
E100000180991,in old vintage only
E100000181016,in old vintage only
E100000181072,in old vintage only
E100000181156,in old vintage only
E100000181489,in old vintage only
E100000182202,in old vintage only
E100000186139,in old vintage only
E100000186819,in old vintage only
E100001000051,in old vintage only
E100001000077,in old vintage only
E100001000166,in old vintage only
E100001000167,in old vintage only
E100001000182,in old vintage only
E100001000207,in old vintage only
E100001000247,in old vintage only
E100001000285,in old vintage only
E100001000297,in old vintage only
E100001000298,in old vintage only
E100001000314,in old vintage only
E100001000375,in old vintage only
E100001000376,in old vintage only
E100001000478,in old vintage only
E100001000481,in old vintage only
E100001000482,in old vintage only
E100001000485,in old vintage only
E100001000499,in old vintage only
E100001000505,in old vintage only
E100001000523,in old vintage only
E100001000546,in old vintage only
E100001000565,in old vintage only
E100001000566,in old vintage only
E100001000581,in old vintage only
E100001000587,in old vintage only
E100001000622,in old vintage only
E100001000632,in old vintage only
E100001000644,in old vintage only
E100001000679,in old vintage only
E100001000698,in old vintage only
E100001000738,in old vintage only
E100001000751,in old vintage only
E100001000775,in old vintage only
E100001000793,in old vintage only
E100001000816,in old vintage only
E100001000824,in old vintage only
E100001000917,in old vintage only
E100001000921,in old vintage only
E100001000966,in old vintage only
E100001000967,in old vintage only
E100001000977,in old vintage only
E100001000979,in old vintage only
E100001001059,in old vintage only
E100001001110,in old vintage only
E100001001112,in old vintage only
E100001001128,in old vintage only
E100001001156,in old vintage only
E100001001188,in old vintage only
E100001001196,in old vintage only
E100001001219,in old vintage only
E100001001258,in old vintage only
E100001001302,in old vintage only
E100001001308,in old vintage only
E100001001319,in old vintage only
E100001001338,in old vintage only
E100001001339,in old vintage only
E100001001340,in old vintage only
E100001001362,in old vintage only
E100001001374,in old vintage only
E100001001388,in old vintage only
E100001001390,in old vintage only
E100001001441,in old vintage only
E100001001442,in old vintage only
E100001010071,in old vintage only
E100001010117,in old vintage only
E100001010128,in old vintage only
E100001010132,in old vintage only
E100001010151,in old vintage only
E100001010154,in old vintage only
E100001010155,in old vintage only
E100001010174,in old vintage only
E100001010228,in old vintage only
